Year,Gender,Sleep_Difficulty,Avg_Sleep_Hours,Wake_Frequency,Sleep_Quality,Concentration_Issue,Daytime_Fatigue,Missed_Classes,Sleep_Impact_Assignments,Device_Use_Before_Sleep,Caffeine_Use,Physical_Activity,Academic_Stress,Academic_Performance
Third year,Female,Never,Less than 4 hours,Never,Good,Never,Rarely,Sometimes,Minor impact,Rarely,Never,Rarely,Low stress,Good
Third year,Male,Often,7-8 hours,Often,Poor,Often,Often,Always,Major impact,Often,Sometimes,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Female,Often,7-8 hours,Often,Poor,Always,Always,Often,Major impact,Often,Often,Every day,High stress,Below Average
First year,Female,Sometimes,More than 8 hours,Sometimes,Poor,Often,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Average,Often,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Average
Third year,Male,Often,More than 8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Average
Third year,Female,Sometimes,More than 8 hours,Often,Very poor,Often,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,6-7 hours,Often,Poor,Always,Sometimes,Often,Moderate impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Female,Often,7-8 hours,Often,Poor,Always,Often,Sometimes,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Often,Always,Always,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Poor,Sometimes,Always,Sometimes,Major impact,Often,Often,Often,High stress,Below Average
Second year,Male,Often,More than 8 hours,Often,Very poor,Sometimes,Always,Always,Major impact,Often,Often,Sometimes,Extremely high stress,Below Average
Second year,Male,Often,7-8 hours,Often,Poor,Sometimes,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Sometimes,More than 8 hours,Often,Poor,Often,Often,Always,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Poor,Often,Often,Always,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Poor,Often,Always,Often,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Poor,Often,Often,Always,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Female,Rarely,4-5 hours,Rarely,Good,Never,Often,Sometimes,Moderate impact,Sometimes,Often,Often,High stress,Average
Third year,Male,Often,7-8 hours,Often,Poor,Always,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Female,Never,Less than 4 hours,Never,Good,Sometimes,Rarely,Rarely,Minor impact,Rarely,Rarely,Sometimes,High stress,Good
Third year,Male,Often,7-8 hours,Often,Average,Often,Often,Often,Major impact,Often,Often,Often,High stress,Average
Third year,Male,Sometimes,More than 8 hours,Often,Poor,Always,Always,Often,Major impact,Sometimes,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Often,Sometimes,Often,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Female,Rarely,4-5 hours,Never,Very good,Never,Sometimes,Often,Moderate impact,Sometimes,Sometimes,Rarely,High stress,Average
Second year,Male,Often,7-8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Average,Often,Often,Often,Major impact,Often,Often,Often,High stress,Average
Third year,Male,Often,7-8 hours,Often,Poor,Always,Always,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Average,Often,Often,Often,Major impact,Often,Often,Often,High stress,Average
Graduate student,Male,Often,7-8 hours,Often,Poor,Often,Always,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Female,Often,7-8 hours,Often,Good,Always,Often,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Poor,Sometimes,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Poor,Often,Sometimes,Rarely,Major impact,Sometimes,Often,Rarely,High stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Average,Often,Often,Often,Major impact,Often,Often,Often,High stress,Average
Third year,Male,Often,7-8 hours,Often,Average,Often,Often,Often,Major impact,Often,Often,Often,High stress,Average
Third year,Male,Often,7-8 hours,Often,Good,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Good,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Average,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Sometimes,More than 8 hours,Often,Very poor,Sometimes,Often,Always,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Sometimes,Always,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Poor,Often,Always,Always,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,6-7 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Poor,Always,Sometimes,Often,Major impact,Often,Often,Sometimes,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Poor,Often,Always,Often,Major impact,Sometimes,Often,Every day,Extremely high stress,Below Average
Graduate student,Female,Often,7-8 hours,Often,Poor,Often,Often,Always,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Poor,Often,Always,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Poor,Often,Often,Sometimes,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Poor,Often,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Poor,Always,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Poor,Always,Often,Often,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Male,Sometimes,7-8 hours,Often,Poor,Often,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Poor,Often,Always,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Poor,Often,Sometimes,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Second year,Male,Often,More than 8 hours,Often,Poor,Often,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Always,Often,Always,Major impact,Often,Often,Often,High stress,Below Average
Third year,Female,Often,7-8 hours,Often,Very poor,Often,Always,Always,Major impact,Often,Often,Every day,High stress,Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Poor,Always,Often,Often,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Poor,Often,Always,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,6-7 hours,Often,Very poor,Often,Often,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Often,Often,Always,Major impact,Often,Often,Every day,High stress,Average
Graduate student,Male,Often,7-8 hours,Often,Poor,Often,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very poor,Often,Often,Always,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Female,Often,7-8 hours,Often,Very poor,Sometimes,Sometimes,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Poor,Sometimes,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Poor,Always,Always,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Female,Sometimes,More than 8 hours,Often,Very poor,Often,Often,Sometimes,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Female,Often,7-8 hours,Often,Very poor,Often,Always,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Poor,Always,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Every day,High stress,Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Poor,Always,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Female,Often,7-8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Always,Always,Often,Major impact,Often,Sometimes,Every day,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Always,Often,Always,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Often,Always,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Often,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Female,Often,7-8 hours,Often,Very poor,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Female,Often,7-8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Often,Often,Always,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Sometimes,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Poor,Always,Often,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Female,Often,7-8 hours,Often,Very poor,Always,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Poor,Often,Often,Sometimes,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Sometimes,Always,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Often,Often,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Poor,Always,Often,Often,Major impact,Often,Sometimes,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Often,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Poor,Always,Often,Always,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very poor,Always,Always,Always,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Poor,Often,Always,Always,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Poor,Always,Often,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Poor,Always,Often,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Poor,Often,Often,Always,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Poor,Always,Often,Often,Moderate impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Sometimes,Very poor,Sometimes,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Sometimes,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Average
Graduate student,Male,Often,More than 8 hours,Often,Poor,Often,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Always,Often,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Average,Often,Often,Often,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Second year,Female,Often,More than 8 hours,Often,Very poor,Always,Often,Often,Major impact,Sometimes,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Poor,Often,Always,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Second year,Female,Often,More than 8 hours,Often,Very poor,Often,Often,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Female,Often,7-8 hours,Often,Very poor,Sometimes,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Poor,Often,Always,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Poor,Always,Often,Often,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Often,Always,Often,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Poor,Sometimes,Often,Always,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Average,Often,Often,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Poor,Always,Often,Always,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Poor,Always,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Sometimes,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Poor,Often,Often,Always,Major impact,Often,Often,Every day,Extremely high stress,Average
Third year,Male,Often,More than 8 hours,Often,Average,Often,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Poor,Often,Always,Sometimes,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Poor,Often,Always,Always,Moderate impact,Often,Often,Often,High stress,Average
Third year,Female,Often,7-8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Sometimes,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Sometimes,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Always,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Often,Often,Sometimes,Moderate impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Poor,Often,Sometimes,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Good,Always,Always,Always,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Poor,Sometimes,Always,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Always,Often,Sometimes,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Often,Sometimes,Often,Moderate impact,Often,Sometimes,Sometimes,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Poor,Often,Sometimes,Sometimes,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Female,Sometimes,More than 8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Good,Always,Often,Often,Major impact,Sometimes,Often,Often,Extremely high stress,Below Average
Second year,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Good,Often,Often,Often,Major impact,Often,Sometimes,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Poor,Always,Often,Often,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Often,Always,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Poor,Often,Always,Always,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Often,Always,Often,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Often,Often,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very poor,Often,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very poor,Often,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Often,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very poor,Always,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Poor,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Often,Often,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Sometimes,Very poor,Often,Always,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Poor,Often,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Always,Always,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Female,Often,7-8 hours,Often,Very poor,Always,Often,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Always,Always,Often,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Poor,Always,Always,Always,Major impact,Often,Often,Every day,High stress,Below Average
Second year,Female,Often,More than 8 hours,Often,Very poor,Always,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Sometimes,Poor,Always,Often,Always,Moderate impact,Often,Often,Every day,High stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Good,Often,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Sometimes,6-7 hours,Rarely,Average,Sometimes,Rarely,Sometimes,Moderate impact,Sometimes,Often,Sometimes,High stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Good,Sometimes,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Second year,Male,Rarely,7-8 hours,Never,Poor,Rarely,Rarely,Rarely,Minor impact,Rarely,Rarely,Rarely,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Always,Often,Often,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Male,Sometimes,6-7 hours,Sometimes,Poor,Rarely,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Good,Sometimes,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Female,Often,7-8 hours,Often,Good,Often,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Second year,Female,Often,6-7 hours,Often,Average,Rarely,Often,Always,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Female,Often,More than 8 hours,Often,Good,Often,Sometimes,Always,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Sometimes,Good,Often,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Sometimes,6-7 hours,Sometimes,Average,Rarely,Never,Rarely,Moderate impact,Often,Sometimes,Sometimes,High stress,Below Average
Third year,Male,Often,6-7 hours,Often,Good,Always,Often,Always,Major impact,Often,Sometimes,Every day,Extremely high stress,Below Average
Second year,Female,Sometimes,6-7 hours,Sometimes,Average,Sometimes,Sometimes,Sometimes,Major impact,Sometimes,Sometimes,Sometimes,Low stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Good,Often,Sometimes,Always,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Male,Sometimes,6-7 hours,Sometimes,Average,Sometimes,Sometimes,Sometimes,Moderate impact,Never,Rarely,Sometimes,Extremely high stress,Below Average
Third year,Male,Often,6-7 hours,Often,Very good,Always,Sometimes,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Always,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,6-7 hours,Often,Average,Always,Often,Often,Major impact,Often,Often,Rarely,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Poor,Always,Always,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Second year,Male,Often,More than 8 hours,Sometimes,Average,Rarely,Rarely,Always,Major impact,Rarely,Sometimes,Often,Extremely high stress,Below Average
Graduate student,Male,Often,6-7 hours,Often,Very good,Often,Often,Often,Major impact,Sometimes,Often,Every day,Extremely high stress,Below Average
Third year,Female,Sometimes,6-7 hours,Rarely,Good,Often,Sometimes,Sometimes,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Sometimes,7-8 hours,Often,Very good,Sometimes,Always,Often,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Rarely,6-7 hours,Rarely,Very good,Always,Sometimes,Sometimes,Minor impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Female,Sometimes,More than 8 hours,Often,Very good,Often,Sometimes,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Female,Often,7-8 hours,Often,Good,Often,Often,Always,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Female,Sometimes,7-8 hours,Sometimes,Average,Sometimes,Sometimes,Rarely,Moderate impact,Sometimes,Often,Often,High stress,Below Average
Third year,Male,Often,6-7 hours,Often,Good,Often,Sometimes,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Second year,Female,Sometimes,6-7 hours,Sometimes,Poor,Sometimes,Rarely,Sometimes,Moderate impact,Sometimes,Sometimes,Sometimes,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Good,Often,Often,Sometimes,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Sometimes,4-5 hours,Sometimes,Average,Always,Often,Often,Moderate impact,Often,Sometimes,Sometimes,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Often,Always,Often,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very good,Often,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
